id,duration,country
tt0022550,81,USA
tt0022551,81,USA
tt0022572,74,USA
tt0022582,88,USA
tt0022599,104,France
tt0022613,79,USA
tt0022614,63,USA
tt0022615,84,USA
tt0022619,61,USA
tt0022626,75,USA
tt0022628,85,USA
tt0022635,73,USA
tt0022639,84,USA
tt0022641,70,USA
tt0022644,70,USA
tt0022651,93,USA
tt0022660,86,USA
tt0022663,68,USA
tt0022675,80,USA
tt0022676,63,USA
tt0022681,54,USA
tt0022682,72,USA
tt0022685,70,USA
tt0022689,80,USA
tt0022694,85,Germany
tt0022696,80,USA
tt0022698,93,USA
tt0022699,98,Germany
tt0022700,91,USA
tt0022718,85,France
tt0022725,76,USA
tt0022731,77,USA
tt0022735,78,USA
tt0022737,88,USA
tt0022748,62,USA
tt0022751,58,USA
tt0022753,71,USA
tt0022755,73,USA
tt0022775,73,USA
tt0022778,86,USA
tt0022784,58,USA
tt0022787,115,France
tt0022788,70,USA
tt0022789,68,USA
tt0022792,85,USA
tt0022796,75,USA
tt0022802,75,USA
tt0022814,78,USA
tt0022824,81,USA
tt0022827,76,USA
tt0022834,77,USA
tt0022835,98,USA
tt0022854,72,USA
tt0022867,82,Czechoslovakia
tt0022869,114,Germany
tt0022873,77,USA
tt0022876,74,USA
tt0022877,140,France
tt0022879,80,USA
tt0022882,82,USA
tt0022890,67,USA
tt0022897,96,USA
tt0022905,85,USA
tt0022913,64,USA
