id,title,year,genre
tt0016028,Little Annie Rooney,1925,"Drama, Comedy"
tt0016029,The Little Colonel,1935,"Comedy, Family, Musical"
tt0016039,The Lost World,1925,"Adventure, Fantasy, Sci-Fi"
tt0016104,The Merry Widow,1925,"Drama, Romance"
tt0016123,The Monster,1925,"Comedy, Horror, Mystery"
tt0016185,Orochi,1925,"Action, Adventure"
tt0016201,Parisian Love,1925,"Crime, Drama, Romance"
tt0016205,Paths to Paradise,1925,"Comedy, Crime, Romance"
tt0016220,The Phantom of the Opera,1925,Horror
tt0016226,The Plastic Age,1925,"Comedy, Romance, Sport"
tt0016230,The Pleasure Garden,1925,"Drama, Romance"
tt0016232,Poil de carotte,1925,Drama
tt0016240,Prem Sanyas,1925,Drama
tt0016241,Pretty Ladies,1925,"Comedy, Drama"
tt0016258,The Rag Man,1925,"Drama, Comedy"
tt0016276,The Red Kimona,1925,"Biography, Drama, Romance"
tt0016288,Riders of the Purple Sage,1925,"Action, Drama, Western"
tt0016294,The Road to Yesterday,1925,"Drama, Fantasy, Romance"
tt0016308,Sally of the Sawdust,1925,Comedy
tt0016309,"Sally, Irene and Mary",1925,"Comedy, Drama"
tt0016310,The Salvation Hunters,1925,Drama
tt0016332,Seven Chances,1925,"Comedy, Romance"
tt0016338,She,1925,"Adventure, Fantasy, Sci-Fi"
tt0016377,Soul-Fire,1925,Drama
tt0016392,Die Stadt ohne Juden,1924,Drama
tt0016394,Stage Struck,1925,Comedy
tt0016395,Stella Dallas,1925,Drama
tt0016461,Tumbleweeds,1925,Western
tt0016473,The Unholy Three,1925,"Crime, Drama, Romance"
tt0016480,The Vanishing American,1925,Western
tt0016481,Varieté,1925,"Crime, Drama, Romance"
tt0016491,Visages d'enfants,1925,"Drama, Mystery, Romance"
tt0016493,Le voyage imaginaire,1926,"Comedy, Drama, Fantasy"
tt0016544,The Wizard of Oz,1925,"Comedy, Family, Fantasy"
tt0016545,Wolfblood,1925,Drama
tt0016548,A Woman of the World,1925,"Comedy, Drama"
tt0016559,Zakroyshchik iz Torzhka,1925,Comedy
tt0016560,Zander the Great,1925,"Action, Comedy, Drama"
tt0016563,Zur Chronik von Grieshuus,1925,Drama
tt0016627,Bardelys the Magnificent,1926,"Drama, Romance"
tt0016629,The Bat,1926,"Mystery, Thriller"
tt0016630,Battling Butler,1926,Comedy
tt0016634,Beau Geste,1926,"Action, Adventure, Drama"
tt0016640,The Bells,1926,"Crime, Drama, Horror"
tt0016641,Ben-Hur: A Tale of the Christ,1925,"Adventure, Drama, Romance"
tt0016643,The Better 'Ole,1926,"Comedy, War, Drama"
tt0016646,Beverly of Graustark,1926,"Comedy, Romance"
tt0016654,The Black Pirate,1926,"Adventure, Action"
tt0016655,The Blackbird,1926,"Crime, Drama, Romance"
tt0016664,The Blue Eagle,1926,"Action, Drama"
tt0016669,La Bohème,1926,"Drama, Romance"
tt0016672,The Boob,1926,"Comedy, Romance"
tt0016690,Brown of Harvard,1926,"Drama, Romance"
tt0016691,Brudeferden i Hardanger,1926,"Drama, Romance"
tt0016762,Dancing Mothers,1926,Drama
tt0016804,Don Juan,1926,"Adventure, Romance"
tt0016822,Ella Cinders,1926,"Comedy, Romance"
tt0016827,Eve's Leaves,1926,"Comedy, Romance"
tt0016832,Exit Smiling,1926,"Comedy, Romance"
tt0016847,Faust: Eine deutsche Volkssage,1926,"Drama, Fantasy, Horror"
tt0016854,Fig Leaves,1926,Comedy
tt0016871,Fine Manners,1926,Comedy
tt0016884,Flesh and the Devil,1926,"Drama, Romance"
tt0016895,For Heaven's Sake,1926,"Action, Comedy, Romance"
tt0016914,Geheimnisse einer Seele,1926,Drama
tt0016939,The Great K & A Train Robbery,1926,Western
tt0016947,Hands Up!,1926,"Action, Comedy, War"
tt0016953,Der heilige Berg,1926,Drama
tt0016971,His First Flame,1927,Comedy
tt0017004,It's the Old Army Game,1926,"Adventure, Comedy, Romance"
tt0017028,Kid Boots,1926,"Comedy, Romance"
tt0017029,Kiki,1926,Comedy
tt0017048,Kurutta ippêji,1926,"Drama, Horror"
tt0017075,The Lodger: A Story of the London Fog,1927,"Crime, Drama, Mystery"
tt0017082,Love 'Em and Leave 'Em,1926,"Comedy, Drama, Romance"
tt0017096,Maciste all'inferno,1925,"Action, Drama, Fantasy"
tt0017103,The Magician,1926,"Drama, Fantasy, Horror"
tt0017119,Mantrap,1926,Comedy
tt0017120,Mare Nostrum,1926,"Drama, War"
tt0017128,Mat,1926,Drama
tt0017136,Metropolis,1927,"Drama, Sci-Fi"
tt0017159,Miss Mend,1926,"Adventure, Comedy, Crime"
tt0017195,Namus,1925,Drama
tt0017196,Nana,1926,"Drama, Romance"
tt0017198,Nell Gwyn,1926,"Biography, Drama, History"
tt0017226,Old Ironsides,1926,"Drama, History"
tt0017271,Po zakonu,1926,Drama
tt0017293,Protsess o tryokh millionakh,1926,Comedy
tt0017329,The Road to Mandalay,1926,Drama
tt0017338,Der Rosenkavalier,1925,Comedy
tt0017350,The Scarlet Letter,1926,Drama
tt0017354,The Sea Beast,1926,"Action, Adventure, Fantasy"
tt0017374,The Shamrock Handicap,1926,"Romance, Drama"
tt0017378,Shinel,1926,Drama
tt0017382,The Show-Off,1926,"Comedy, Drama"
