id,director
tt0019655,Joe May
tt0019658,Ewald André Dupont
tt0019684,Irving Cummings
tt0019690,Gregory La Cava
tt0019699,John Ford
tt0019702,Alfred Hitchcock
tt0019725,Pál Fejös
tt0019726,Mervyn LeRoy
tt0019729,Harry Beaumont
tt0019735,F. Richard Jones
tt0019745,Malcolm St. Clair
tt0019746,Alberto Cavalcanti
tt0019777,Robert Florey
tt0019785,Wesley Ruggles
tt0019788,Sam Taylor
tt0019796,Yasujirô Ozu
tt0019798,John Cromwell
tt0019800,Lothar Mendes
tt0019811,William Nigh
tt0019815,Sidney Franklin
tt0019823,Alfred E. Green
tt0019824,Frank Lloyd
tt0019843,Cecil B. DeMille
tt0019850,Gustav Machatý
tt0019852,Ernst Lubitsch
tt0019856,Edwin Carewe
tt0019884,Frank Capra
tt0019886,George W. Hill
tt0019889,Castleton Knight
tt0019901,Fritz Lang
tt0019909,Paul Czinner
tt0019929,Edgar Selwyn
tt0019933,Millard Webb
tt0019935,Cecil B. DeMille
tt0019936,Roy Del Ruth
tt0019945,Reginald Barker
tt0019946,James Cruze
tt0019949,Frank Tuttle
tt0019957,William J. Cowen
tt0019959,King Vidor
tt0019976,William Wyler
tt0019979,Paul L. Stein
tt0019983,Howard Higgin
tt0019992,Robert Florey
tt0019993,Charles Reisner
tt0020004,Benjamin Christensen
tt0020011,Robert Land
tt0020014,William C. de Mille
tt0020018,Irving Cummings
tt0020025,Arthur Robison
tt0020030,Allan Dwan
tt0020034,Sam Wood
tt0020062,Jacques Feyder
tt0020075,George Schnéevoigt
tt0020078,Pál Fejös
tt0020080,Paul Leni
tt0020081,Sidney Franklin
tt0020092,Jean de Limur
tt0020103,George Fitzmaurice
tt0020112,Ernst Lubitsch
tt0020114,William Wyler
tt0020122,Frank Borzage
tt0020126,Lionel Barrymore
tt0020142,Alfred Hitchcock
tt0020143,Robert Z. Leonard
tt0020144,Robert Z. Leonard
tt0020163,Robert Siodmak
tt0020166,Erle C. Kenton
tt0020182,Henri Fescourt
tt0020193,Phil Jutzi
tt0020197,Rowland V. Lee
tt0020198,Lucien Hubbard
tt0020210,Clarence Brown
tt0020217,Lewis Milestone
tt0020223,Michael Curtiz
tt0020228,Jacques Feyder
tt0020230,Grigoriy Kozintsev
tt0020232,Fridrikh Ermler
tt0020238,Alan Crosland
tt0020247,Jack Conway
tt0020253,W.S. Van Dyke
tt0020269,Ewald André Dupont
tt0020286,Franz Osten
tt0020293,Abram Room
tt0020298,Erich von Stroheim
tt0020305,Howard Higgin
tt0020320,Victor Schertzinger
tt0020332,Luther Reed
tt0020335,Frank Borzage
tt0020336,Charles Reisner
tt0020358,John Francis Dillon
tt0020359,David Butler
tt0020364,A. Edward Sutherland
tt0020388,Reginald Barker
tt0020392,William Wyler
tt0020402,Harry A. Pollard
tt0020403,John G. Adolfi
tt0020405,H.P. Carver
tt0020410,John S. Robertson
tt0020425,Sam Wood
tt0020431,Walter Jerven
tt0020439,Harry Beaumont
tt0020442,Edward Sedgwick
tt0020446,Alexander Korda
tt0020451,Grigoriy Aleksandrov
tt0020458,Wesley Ruggles
tt0020461,Frank Tuttle
tt0020466,David Butler
tt0020475,Georg Wilhelm Pabst
tt0020479,Sam Taylor
tt0020480,Marshall Neilan
tt0020488,E. Mason Hopper
tt0020490,Frank Borzage
tt0020492,Tod Browning
tt0020499,Josef von Sternberg
tt0020502,Allan Dwan
tt0020510,Kenji Mizoguchi
tt0020514,Edmund Goulding
tt0020534,Lionel Barrymore
tt0020538,Jack Conway
tt0020542,Marshall Neilan
tt0020543,William K. Howard
tt0020547,Léon Poirier
tt0020556,Victor Fleming
tt0020563,Yasujirô Ozu
tt0020570,Arnold Fanck
tt0020572,Clyde Bruckman
tt0020581,Tod Browning
tt0020585,William A. Seiter
tt0020589,Sidney Franklin
tt0020590,Dorothy Arzner
tt0020608,Hanns Schwarz
tt0020613,Frank Capra
tt0020620,D.W. Griffith
tt0020629,Lewis Milestone
tt0020640,Victor Heerman
tt0020641,Clarence Brown
tt0020642,Jacques Feyder
tt0020656,Julien Duvivier
tt0020661,William A. Seiter
tt0020668,Roland West
tt0020670,Thornton Freeland
tt0020673,Herbert Brenon
tt0020679,Frank Tuttle
tt0020686,George W. Hill
tt0020690,Hobart Henley
tt0020691,Raoul Walsh
tt0020693,King Vidor
tt0020695,David Burton
tt0020697,Josef von Sternberg
tt0020701,Kenneth MacPherson
tt0020702,John Ford
tt0020713,Michael Curtiz
tt0020724,Charles Brabin
tt0020740,Alan Crosland
tt0020754,Al Christie
tt0020758,Melville W. Brown
tt0020763,Harry Beaumont
tt0020768,F.W. Murnau
tt0020793,Anthony Asquith
tt0020799,Paul Sloane
tt0020806,George B. Seitz
tt0020814,Julien Duvivier
tt0020815,Howard Hawks
tt0020821,George Fitzmaurice
tt0020823,Edmund Goulding
tt0020827,Robert Z. Leonard
tt0020828,Luther Reed
tt0020836,Archie Mayo
tt0020838,Edward Sedgwick
tt0020842,Wilhelm Thiele
tt0020852,André Charlot
tt0020869,Leslie Pearce
tt0020875,Roy William Neill
tt0020876,Clyde Bruckman
tt0020890,William A. Seiter
tt0020891,Harry Beaumont
tt0020894,Lloyd Corrigan
tt0020896,John Cromwell
tt0020900,George Archainbaud
tt0020902,Edward Sedgwick
tt0020919,Sam Wood
tt0020924,William A. Seiter
tt0020926,Ray Enright
tt0020929,Nick Grinde
tt0020938,Alfred E. Green
tt0020945,Paul Sloane
tt0020949,Benjamin Stoloff
tt0020959,Henry King
tt0020960,Howard Hughes
tt0020966,Tay Garnett
tt0020980,Yasujirô Ozu
tt0020985,Edward H. Griffith
tt0020987,Edward F. Cline
tt0021001,Roy Pomeroy
tt0021013,James Whale
tt0021015,Alfred Hitchcock
tt0021016,David Butler
tt0021025,John Murray Anderson
tt0021040,Frank Capra
tt0021042,Sidney Franklin
tt0021044,Victor Sjöström
tt0021048,Frank Lloyd
tt0021053,Harry d'Abbadie d'Arrast
tt0021060,Robert Z. Leonard
tt0021061,Leo McCarey
tt0021069,Roy Del Ruth
tt0021070,Otto Brower
tt0021074,Frank Borzage
tt0021079,Mervyn LeRoy
tt0021087,Ted Wilde
tt0021090,Harry Beaumont
tt0021092,Lowell Sherman
tt0021094,Paul L. Stein
tt0021100,Charles Reisner
tt0021102,Melville W. Brown
tt0021106,Cecil B. DeMille
tt0021110,Michael Curtiz
tt0021121,George Abbott
tt0021128,Alfred Hitchcock
tt0021132,Michael Curtiz
tt0021133,William A. Wellman
tt0021134,Scott Pembroke
tt0021140,John Ford
tt0021148,George W. Hill
tt0021149,Lloyd Bacon
tt0021152,Malcolm St. Clair
tt0021153,Ernst Lubitsch
tt0021156,Josef von Sternberg
tt0021165,Alfred Hitchcock
tt0021178,Jack Conway
tt0021189,King Vidor
tt0021191,Lloyd Bacon
tt0021197,Lloyd Bacon
tt0021216,John Francis Dillon
tt0021217,Paul L. Stein
tt0021223,Harry Beaumont
tt0021225,Robert Milton
tt0021228,Sam Wood
tt0021232,Dorothy Arzner
tt0021239,Victor Halperin
tt0021240,William C. de Mille
tt0021247,Jean Grémillon
tt0021263,Mervyn LeRoy
tt0021268,Yakov Protazanov
tt0021273,Augusto Genina
tt0021276,Edward Sloman
tt0021280,George Fitzmaurice
tt0021281,George Fitzmaurice
tt0021282,Frank Capra
tt0021283,Yasujirô Ozu
tt0021287,Edmund Goulding
tt0021292,Fred Niblo
tt0021294,Nick Grinde
tt0021295,Victor Fleming
tt0021297,Rowland V. Lee
tt0021303,Michael Curtiz
tt0021304,William Beaudine
tt0021307,Lionel Barrymore
tt0021309,Irene Starewicz
tt0021310,Clarence Brown
tt0021322,George Cukor
tt0021324,Donald Crisp
tt0021331,Jean Cocteau
tt0021335,Dorothy Arzner
tt0021345,Lionel Barrymore
